model,architecture,condition,metric,n,mean,sd,median,q1,q3,min,max
gpt-4o-mini,AC+Debugger,primary,halstead_effort,164,212.33142213741445,854.1730418291677,42.793987519471216,2.3774437510817346,196.56596165764316,0.0,10587.947479942528
gpt-4o-mini,ACT+Debugger,primary,loc,164,10.49390243902439,4.846726744686844,10.0,7.0,13.0,2.0,30.0
gpt-4o-mini,ACT+Debugger,primary,sloc,164,9.725609756097562,4.181945153883332,9.0,7.0,12.0,2.0,30.0
gpt-4o-mini,ACT+Debugger,primary,comments,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,ACT+Debugger,primary,multi,164,0.06097560975609756,0.5614958325345021,0.0,0.0,0.0,0.0,6.0
gpt-4o-mini,ACT+Debugger,primary,blank,164,0.7073170731707317,1.2821359180464276,0.0,0.0,1.0,0.0,10.0
gpt-4o-mini,ACT+Debugger,primary,cc,164,4.75,2.2521291902487635,5.0,3.0,6.0,1.0,16.0
gpt-4o-mini,ACT+Debugger,primary,halstead_volume,164,62.707178960606996,57.16212216177442,49.130482042116306,24.0,83.4893270929515,0.0,356.5691823574533
gpt-4o-mini,ACT+Debugger,primary,halstead_difficulty,164,2.724873611602104,1.8006295876110505,2.4722222222222223,1.5,3.6,0.0,9.333333333333334
gpt-4o-mini,ACT+Debugger,primary,halstead_effort,164,243.50244798670929,337.5294782798415,122.90166004500016,36.0,300.07292799054414,0.0,2277.4418744121213
gpt-4o-mini,Basic,passing,loc,124,6.782258064516129,4.20908905014473,6.0,4.0,9.25,2.0,23.0
gpt-4o-mini,Basic,passing,sloc,124,6.225806451612903,3.8547588784533526,6.0,3.0,9.0,2.0,20.0
gpt-4o-mini,Basic,passing,comments,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,Basic,passing,multi,124,0.11290322580645161,0.8945151515834001,0.0,0.0,0.0,0.0,8.0
gpt-4o-mini,Basic,passing,blank,124,0.4435483870967742,0.6783818546578945,0.0,0.0,1.0,0.0,4.0
gpt-4o-mini,Basic,passing,cc,124,3.1693548387096775,1.666122386868737,3.0,2.0,4.0,1.0,8.0
gpt-4o-mini,Basic,passing,halstead_volume,124,34.531575195967726,43.23584710919984,18.335081132073498,4.754887502163469,50.3445596373727,0.0,239.7224256251957
gpt-4o-mini,Basic,passing,halstead_difficulty,124,1.6712647255357358,1.4892985563250294,1.2,0.5,2.5,0.0,6.2631578947368425
gpt-4o-mini,Basic,passing,halstead_effort,124,109.2603341404406,200.9101109739327,25.5,2.3774437510817346,130.40301096373207,0.0,1501.41940259991
gpt-4o-mini,AC,passing,loc,124,10.10483870967742,4.322033826399114,9.5,7.0,12.0,2.0,22.0
gpt-4o-mini,AC,passing,sloc,124,9.379032258064516,3.6772045363567947,9.0,6.0,11.25,2.0,20.0
gpt-4o-mini,AC,passing,comments,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,AC,passing,multi,124,0.08064516129032258,0.8980265101338748,0.0,0.0,0.0,0.0,10.0
gpt-4o-mini,AC,passing,blank,124,0.6451612903225806,1.0452645706013475,0.0,0.0,1.0,0.0,4.0
gpt-4o-mini,AC,passing,cc,124,4.548387096774194,2.0654133573555495,4.0,3.0,5.25,1.0,14.0
gpt-4o-mini,AC,passing,halstead_volume,124,54.81964107933886,56.26124536499486,38.958442471829315,18.094737505048094,69.9013751747143,0.0,369.87118895965546
gpt-4o-mini,AC,passing,halstead_difficulty,124,2.4545896143787633,1.791559604358984,2.0,1.2999999999999998,3.125,0.0,9.942307692307692
gpt-4o-mini,AC,passing,halstead_effort,124,216.28278074203013,416.13772845866373,85.26282110210897,18.575424759098897,220.05752236980456,0.0,3677.3731671565743
gpt-4o-mini,ACT,passing,loc,124,10.008064516129032,4.72408801839677,10.0,7.0,12.0,2.0,29.0
gpt-4o-mini,ACT,passing,sloc,124,9.306451612903226,3.9595052235760257,9.0,6.75,11.0,2.0,24.0
gpt-4o-mini,ACT,passing,comments,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,ACT,passing,multi,124,0.03225806451612903,0.35921060405354993,0.0,0.0,0.0,0.0,4.0
gpt-4o-mini,ACT,passing,blank,124,0.6693548387096774,1.2344761187240416,0.0,0.0,1.0,0.0,9.0
gpt-4o-mini,ACT,passing,cc,124,4.435483870967742,2.1498418753872657,4.0,3.0,5.0,1.0,16.0
gpt-4o-mini,ACT,passing,halstead_volume,124,53.43763286074866,56.68634983107472,39.863137138648355,15.509775004326936,69.39929144777766,0.0,356.5691823574533
gpt-4o-mini,ACT,passing,halstead_difficulty,124,2.4357203400672454,1.782806400221484,2.25,1.0,3.2708333333333335,0.0,10.384615384615385
gpt-4o-mini,ACT,passing,halstead_effort,124,207.44175459193724,381.1465334836477,93.95062695544888,18.094737505048094,225.8478836337676,0.0,2561.745109574997
gpt-4o-mini,Debugger,passing,loc,124,6.975806451612903,4.732629702099438,6.0,4.0,10.0,2.0,31.0
