model,metric,condition,arch_a,arch_b,layers,mechanism,n,wilcoxon_stat,p_raw,p_holm,significant,rank_biserial,rrb_magnitude,median_diff,higher_complexity
gpt-4o,halstead_effort,passing,Basic,AC,R,Single,127,653.0,3.51632770678005e-06,4.92285878949207e-05,True,-0.5969135802469135,large,-52.82703151907023,AC
gpt-4o,halstead_effort,passing,Basic,ACT,"R,T",Compound,127,682.0,3.168232035766394e-05,0.0003485055239343033,True,-0.5457875457875457,large,-60.568425030288566,ACT
gpt-4o,halstead_effort,passing,Basic,Debugger,D,Single,127,24.0,0.13295729296233563,0.7977437577740139,False,-0.4725274725274725,moderate,0.0,Debugger
gpt-4o,halstead_effort,passing,Basic,AC+Debugger,"R,D",Compound,127,15.0,0.20262160771231197,0.8104864308492479,False,-0.45454545454545453,moderate,0.0,AC+Debugger
gpt-4o,halstead_effort,passing,Basic,ACT+Debugger,"R,T,D",Compound,127,542.5,1.4091212305085528e-07,2.1136818457628293e-06,True,-0.673291177356218,large,-52.82703151907023,ACT+Debugger
gpt-4o,halstead_effort,passing,AC,ACT,T,Single,127,424.0,0.7309484217151945,0.9676797027871364,False,0.06090808416389812,negligible,-7.741393511218334,AC
gpt-4o,halstead_effort,passing,AC,Debugger,R<->D,Swap,127,685.0,3.385722148638092e-05,0.0003485055239343033,True,0.5437895437895438,large,52.82703151907023,AC
gpt-4o,halstead_effort,passing,AC,AC+Debugger,D,Single,127,713.0,3.761592024419654e-05,0.0003485055239343033,True,0.537163258682246,large,52.82703151907023,AC
gpt-4o,halstead_effort,passing,AC,ACT+Debugger,"T,D",Compound,127,370.0,0.2136025955796621,0.8104864308492479,False,-0.21775898520084566,small,0.0,ACT+Debugger
gpt-4o,halstead_effort,passing,ACT,Debugger,"R,T,D",Compound,127,851.0,0.0005941724698942245,0.004753379759153796,True,0.4475819539110678,moderate,60.568425030288566,ACT
gpt-4o,halstead_effort,passing,ACT,AC+Debugger,T<->D,Swap,127,846.0,0.0008737402222374275,0.006116181555661992,True,0.43656343656343655,moderate,60.568425030288566,ACT
gpt-4o,halstead_effort,passing,ACT,ACT+Debugger,D,Single,127,316.5,0.139603702882346,0.7977437577740139,False,-0.26480836236933797,small,7.741393511218334,ACT+Debugger
gpt-4o,halstead_effort,passing,Debugger,AC+Debugger,R,Single,127,13.0,0.4838398513935682,0.9676797027871364,False,0.2777777777777778,small,0.0,Debugger
gpt-4o,halstead_effort,passing,Debugger,ACT+Debugger,"R,T",Compound,127,660.0,4.133621729333829e-06,5.373708248133978e-05,True,-0.5925925925925926,large,-52.82703151907023,ACT+Debugger
gpt-4o,halstead_effort,passing,AC+Debugger,ACT+Debugger,T,Single,127,664.0,7.5816546752763265e-06,9.097985610331592e-05,True,-0.579746835443038,large,-52.82703151907023,ACT+Debugger
gpt-4o-mini,sloc,primary,Basic,AC,R,Single,164,526.0,1.4702495475971683e-19,2.2053743213957527e-18,True,-0.8887125780175605,large,-3.5,AC
gpt-4o-mini,sloc,primary,Basic,ACT,"R,T",Compound,164,1009.0,6.225979475349794e-17,6.848577422884774e-16,True,-0.804001554001554,large,-3.0,ACT
gpt-4o-mini,sloc,primary,Basic,Debugger,D,Single,164,73.0,0.86682580212015,1.0,False,0.0457516339869281,negligible,0.0,Basic
gpt-4o-mini,sloc,primary,Basic,AC+Debugger,"R,D",Compound,164,105.5,0.7272071004999883,1.0,False,0.08658008658008658,negligible,0.0,Basic
